"396","Retail Data Systems - CRS","950","396","Retail Data Systems - CRS","SO-11080","44220","2016-11-02 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4702597530@vzw3g.com","SO-11080"
"396","Retail Data Systems - CRS","950","396","Retail Data Systems - CRS","SO-11635","45466","2017-07-10 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4704640962@vzw3g.com","SO-11635"
"396","Retail Data Systems - CRS","950","396","Retail Data Systems - CRS","SO-11742","45725","2017-09-06 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4043543721@vzw3g.com","SO-11742"
"396","Retail Data Systems - CRS","950","396","Retail Data Systems - CRS","SO-12282","46886","2018-06-14 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4702597343@vzw3g.com","SO-12282"
"759","The Fletcher Restaurant, LLC (RDS)","2230","759","The Fletcher Restaurant, LLC (RDS)","SO-10715","43648","2016-06-12 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4049892256@vzw3g.com","SO-10715"
"760","Retail Data Systems - Des Moines","2231","760","Retail Data Systems - Des Moines","SO-10713","43510","2016-05-17 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4702597297@vzw3g.com","SO-10713"
"764","Retail Data Systems - Tampa","2251","764","Retail Data Systems - Tampa","SO-10864","43854","2016-07-28 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4702597289@vzw3g.com","SO-10864"
"771","Retail Data Systems - St Louis","2273","771","Retail Data Systems - St Louis","SO-11073","44205","2016-10-31 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4702597355@vzw3g.com","SO-11073"
"771","Retail Data Systems - St Louis","2273","771","Retail Data Systems - St Louis","SO-11073","44207","2016-10-31 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4702597250@vzw3g.com","SO-11073"
"771","Retail Data Systems - St Louis","2273","771","Retail Data Systems - St Louis","SO-11073","44212","2016-10-31 18:00:00",,"MRC-CYS1-M-0-N-0-3","CYS1-M-0-N-0-3","ContournuitY Smart 1 Monthly Verizon","VERIZON","4702597342@vzw3g.com","SO-11073"
