699|Fiserv Cash and Logistics|47175|||TBD|||Managed
699|Fiserv Cash and Logistics|47256|||TBD|||Managed
699|Fiserv Cash and Logistics|47052|Sirivan Sisouvong, (718) 497-2407|Union Beer|Union Beer|46 Meadowlands Pkwy, Hudson, NJ 07094|46 Meadowlands Pkwy, Hudson, NJ 07094|Managed
699|Fiserv Cash and Logistics|44837|Akinade Adebukola, (301) 919-5909|MD0165|Fixlinks Technology LLC|8627 Liberty St, Randallstown, MD|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|44859|Alex Tullo, (551) 427-6183|Flying T|Flying T Truck Stop|1 North Hackensack Ave, Kearny, NJ 07032|FLYING T INC T/A NEW JERSEY TRUCK STOP|Managed
699|Fiserv Cash and Logistics|47229|Alex Williams|Hammer Williams Company|Hammer Williams Company|3001 N 14th St, Ponca City, OK 74601|Hammer Williams Company|Managed
699|Fiserv Cash and Logistics|44861|ARLENE SISON 323-335-8652|CA1569|ALAS CARGO LLC (5)|627 N VERMONT AVE, LOS ANGELES,CA 90004|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|46279|Bernardo Brea, (347) 218-9242|2454|CMCS Services LLC|1535 Westchester Ave, Bronx, NY 10472|Choice Money Transfer, Inc|Managed
699|Fiserv Cash and Logistics|44880|CARMELITA SUNGA/ELSA CUSTODIO: 626-820-8870/626-820-8871|CA1592|ALAS CARGO LLC (7)|1512 E AMAR RD UNIT D, WEST COVINA, CA 91792|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|47257|Choice Money- Undeployed|Choice Money- Undeployed|Choice Money- Undeployed|Choice Money- Undeployed||Managed
699|Fiserv Cash and Logistics|47258|Choice Money- Undeployed|Choice Money- Undeployed|Choice Money- Undeployed|Choice Money- Undeployed||Managed
699|Fiserv Cash and Logistics|47259|Choice Money- Undeployed|Choice Money- Undeployed|Choice Money- Undeployed|Choice Money- Undeployed||Managed
699|Fiserv Cash and Logistics|44872|Christopher Shock, (415) 559-3101|Brooklyn|HNY Ferry, LLC|63 Flushing Ave, Brooklyn, NY, 11205  (415) 559-3101|HNY Ferry, LLC|Managed
699|Fiserv Cash and Logistics|44881|Christopher Shock, (415) 559-3101|Wall Street|HNY Ferry, LLC|110 Wall St, New York, NY 10005 (415) 559-3101 |HNY Ferry, LLC|Managed
699|Fiserv Cash and Logistics|47176|Christopher Stang 972.392.6220|Howard Hughes - Pier 17|Howard Hughes - Pier 17|89 South St, Pier 17, F Bldg, New York, NY 10038|HOWARD HUGHES MANAGEMENT CO LLC|Managed
699|Fiserv Cash and Logistics|44873|CINTHIA NOHEMEY/ DINA LIQUEZ; 718-314-4574|NY1864|MULTI SERVICES JIREH CORP|507 39TH ST , BROOKLYN, NY 11232|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|46261|Claudia Arenas, (908) 598-1999|NJ0788|Carenas Multiservice LLC|1 Ashwood Ave, Summit, NJ|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|46262|Claudia Arenas, (908) 598-1999|884|Carenas Multiservice LLC|1 Ashwood Ave, Summit, NJ|Choice Money Transfer, Inc|Managed
699|Fiserv Cash and Logistics|46683|Daniel Grgornic|Audemars Piguet - Bal Harbour|Audemars Piguet - Bal Harbour|9700 Collins Ave, Bal Harbour, Florida, 33154|Audemars Piguet|Managed
699|Fiserv Cash and Logistics|44889|Daniel Ibarra - 214.274.2006|LAU004|LA Union 4 LLC |621 N Moore Ave, Moore, OK 73160|SuperMercadoes Morelos|Managed
699|Fiserv Cash and Logistics|46271|Dioni Gomez, (631) 727-3715|1460|Riverhead International Calling Center Inc|74 W Main St, Riverhead, NY 11901|Choice Money Transfer, Inc|Managed
699|Fiserv Cash and Logistics|44843|EDIS M RODRIGUEZ; 805-407-3951|CA1183|SIERRA CC SALES|550 S BROADWAY, LOS ANGELES, CA 90013|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|44844|"EFREN HERRERA (OWNER)/IVETT HERRERA 	484.319.1473 / 484.319.1800"|PA0332|Los Alquisiras Inc|"501 E Gay St	West Chester	PA	19380"|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|44892|EFREN HERRERA (OWNER)/IVETT HERRERA, 484.319.1473 / 484.319.1800|PA0332|Los Alquisiras Inc|501 E Gay St., West Chester, PA 19380|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|44867|Eleno Ramos ;203-487-0436 |2141|Marinero Cargo LLC|"809 E Main St	Stamford	CT	06902"|Choice Money Transfer, Inc|Managed
699|Fiserv Cash and Logistics|46278|Eleno Ramos, (203) 614-8936|2308|Pronto Professional Services Inc|83 Stillwater Ave, Stamford, Connecticut 06902 |Choice Money Transfer, Inc|Managed
699|Fiserv Cash and Logistics|44862|ETHEL FRANCISCO / TESS CRUZ / MELANIE CASTILLO: 951-485-1095/ 951-443-5232|CA0701|ATLAS EXPRESS PADALA INC.|24021 ALESSANDRO BLVD., #103 A, MORENO VALLEY, CA 92553|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|44884|FELIX ALFREDO VAZQUEZ; 408-427-5113|CA0350|LA PLACITA|7822 MONTEREY ST, GILROY, CA 95020, |TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|46272|Felix Gutierrez, (973) 754-1200|NY0515|Gutierrez Money Transfer Inc II|70 Lexington Ave, Passaic, NJ 07055|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|46277|Felix Gutierrez, (973) 754-1200|NJ0515|Gutierrez Money Transfer Inc|359 Grand St, 2 Fl, Paterson, NJ 07505|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|44890|Fernando Ibarra - 214.236.5245|LAU006|LA Union 6 LLC|"1 SE 59th St,	Oklahoma City,	OK	73129"|SuperMercadoes Morelos|Managed
699|Fiserv Cash and Logistics|44886|Franklyn Arcos, (973) 732-5151|2622|Costamar Express Multiservices Inc|204 Ferry St, Newark, NJ|Choice Money Transfer, Inc|Managed
699|Fiserv Cash and Logistics|46426|GABRIEL NICHOLE CABRITO 310-834-4384/310-834-4384|CA1566|ALAS CARGO LLC|117 E 223RD ST, CARSON, CA 90745|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|46740|Hank Dalrymple, (607) 738-2124|Seneca Stone|Seneca Stone Corporation|2747 County Rd 121, Seneca Falls, NY, 13148|Seneca Stone Corporation|Managed
699|Fiserv Cash and Logistics|44848|IBETH ARRIAGA / MARIA MARTINEZ; 818-481-99-11|CA0568|BETSY STORE|24313 MAIN ST, NEWHALL, CA 91321|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|44853|IBRAHEIM BERNAL; 510-693-0455|CA0695|ATLAS EXPRESS PADALA INC.|31840 ALVARADO BLVD. UNIT 100, UNION CITY, CA 94587|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|44842|JAMINE NARIO / EDRALIN HERNANDEZ; 858-653-3818|CA1021|ATLAS EXPRESS PADALA INC|8955-A MIRA MESA BLVD, SAN DIEGO, CA 92126|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|46267|Jeffery Moreno, (203) 261-3123|Wheels of CT - Southbury|Wheels of CT - Southbury|1411 Soutford RD, Southbury, CT|Wheels of CT|Managed
699|Fiserv Cash and Logistics|44847|JENNILYN SINGSON/NANCY CHUA 562-809-5070|CA1584|ALAS CARGO|18933 NORWALK BLVD, ARTESIA, CA 90701|TransFast Remittance, LLC|Managed
699|Fiserv Cash and Logistics|44866|Jorge Santoyo - 405.213.8308/ 405.535.6759|LAU005|LA Union 5 LLC|4475 NW 50th, Oklahoma City, OK 73127||Managed
